mode,nprobe,batch,qps,p50_ms,p99_ms,exact_qps,recall_at_k,avg_distance_error,perf_log
ivf_flat,1,32,22692.8,1.3192,1.5204,319.2,0.012380,5.793143e-05,outputs_c2/sweep/ivf_flat_np1_b32/perf.log
ivf_flat,1,128,37919.3,3.1889,3.2877,366.7,0.012530,0,outputs_c2/sweep/ivf_flat_np1_b128/perf.log
ivf_flat,1,512,46576.3,10.3889,10.7358,379.0,0.012490,0,outputs_c2/sweep/ivf_flat_np1_b512/perf.log
ivf_flat,2,32,19242.0,1.5431,1.8123,319.7,0.019230,0,outputs_c2/sweep/ivf_flat_np2_b32/perf.log
ivf_flat,2,128,28316.8,4.2903,4.5005,366.9,0.019440,0,outputs_c2/sweep/ivf_flat_np2_b128/perf.log
ivf_flat,2,512,34435.2,14.2548,14.4463,375.8,0.019180,0,outputs_c2/sweep/ivf_flat_np2_b512/perf.log
ivf_flat,4,32,14962.1,2.0334,2.2736,314.4,0.064480,0,outputs_c2/sweep/ivf_flat_np4_b32/perf.log
ivf_flat,4,128,20253.6,6.1094,6.4059,364.4,0.064510,0,outputs_c2/sweep/ivf_flat_np4_b128/perf.log
ivf_flat,4,512,22946.4,21.4507,21.8994,377.7,0.063560,0,outputs_c2/sweep/ivf_flat_np4_b512/perf.log
ivf_flat,8,32,10434.8,2.9756,3.2609,318.8,0.546850,0,outputs_c2/sweep/ivf_flat_np8_b32/perf.log
ivf_flat,8,128,14121.3,8.8724,9.0176,363.9,0.544190,0,outputs_c2/sweep/ivf_flat_np8_b128/perf.log
ivf_flat,8,512,15491.2,31.9341,32.5665,377.6,0.543500,0,outputs_c2/sweep/ivf_flat_np8_b512/perf.log
ivf_flat,16,32,7559.0,4.1404,4.4620,308.3,0.991390,0,outputs_c2/sweep/ivf_flat_np16_b32/perf.log
ivf_flat,16,128,9320.4,13.6254,13.9898,365.8,0.991390,0,outputs_c2/sweep/ivf_flat_np16_b128/perf.log
ivf_flat,16,512,10003.0,49.6450,51.7063,378.8,0.991390,0,outputs_c2/sweep/ivf_flat_np16_b512/perf.log
ivf_flat,32,32,4535.0,6.9191,7.4596,314.6,1.000000,0,outputs_c2/sweep/ivf_flat_np32_b32/perf.log
ivf_flat,32,128,5125.3,24.7088,25.8533,366.8,1.000000,0,outputs_c2/sweep/ivf_flat_np32_b128/perf.log
ivf_flat,32,512,5494.3,90.6606,92.1381,374.4,1.000000,0,outputs_c2/sweep/ivf_flat_np32_b512/perf.log
ivf_flat,64,32,2450.0,12.8998,14.1404,315.2,1.000000,0,outputs_c2/sweep/ivf_flat_np64_b32/perf.log
ivf_flat,64,128,2658.2,48.0866,49.0972,363.1,1.000000,0,outputs_c2/sweep/ivf_flat_np64_b128/perf.log
ivf_flat,64,512,2820.5,176.9310,189.8396,379.3,1.000000,0,outputs_c2/sweep/ivf_flat_np64_b512/perf.log
