mode,nprobe,batch,qps,p50_ms,p99_ms,exact_qps,recall_at_k,avg_distance_error,perf_log
ivf_flat,1,32,13120.1,2.3549,2.8675,1211.1,0.012510,0,outputs_maca/sweep/ivf_flat_np1_b32/perf.log
ivf_flat,1,128,27109.4,4.5880,4.9426,1562.3,0.012400,0,outputs_maca/sweep/ivf_flat_np1_b128/perf.log
ivf_flat,1,512,38492.9,12.9604,13.2683,1664.8,0.012480,0,outputs_maca/sweep/ivf_flat_np1_b512/perf.log
ivf_flat,2,32,9580.7,3.2910,3.5279,1201.6,0.019430,0,outputs_maca/sweep/ivf_flat_np2_b32/perf.log
ivf_flat,2,128,21030.2,5.9666,6.2274,1544.7,0.019170,0,outputs_maca/sweep/ivf_flat_np2_b128/perf.log
ivf_flat,2,512,32104.9,15.5356,16.0138,1647.1,0.019360,0,outputs_maca/sweep/ivf_flat_np2_b512/perf.log
ivf_flat,4,32,10011.2,3.1045,3.4345,1214.6,0.063610,0,outputs_maca/sweep/ivf_flat_np4_b32/perf.log
ivf_flat,4,128,22492.9,5.5771,5.8727,1554.9,0.063570,0,outputs_maca/sweep/ivf_flat_np4_b128/perf.log
ivf_flat,4,512,30446.4,16.3918,16.9486,1655.3,0.064400,0,outputs_maca/sweep/ivf_flat_np4_b512/perf.log
ivf_flat,8,32,8193.3,3.8199,4.6025,1200.5,0.542820,0,outputs_maca/sweep/ivf_flat_np8_b32/perf.log
ivf_flat,8,128,18627.0,6.6397,7.5334,1546.8,0.544470,0,outputs_maca/sweep/ivf_flat_np8_b128/perf.log
ivf_flat,8,512,24464.5,20.4068,21.0182,1638.3,0.544580,0,outputs_maca/sweep/ivf_flat_np8_b512/perf.log
ivf_flat,16,32,8569.4,3.6449,4.0723,1214.5,0.991390,0,outputs_maca/sweep/ivf_flat_np16_b32/perf.log
ivf_flat,16,128,15328.5,8.2520,8.5544,1547.1,0.991390,0,outputs_maca/sweep/ivf_flat_np16_b128/perf.log
ivf_flat,16,512,17348.4,28.7864,29.8665,1646.9,0.991390,0,outputs_maca/sweep/ivf_flat_np16_b512/perf.log
ivf_flat,32,32,6378.8,4.9731,5.2074,1211.5,1.000000,0,outputs_maca/sweep/ivf_flat_np32_b32/perf.log
ivf_flat,32,128,9061.9,13.9922,14.6341,1527.2,1.000000,0,outputs_maca/sweep/ivf_flat_np32_b128/perf.log
ivf_flat,32,512,10546.1,47.3757,48.9123,1634.1,1.000000,0,outputs_maca/sweep/ivf_flat_np32_b512/perf.log
ivf_flat,64,32,4663.2,6.7505,7.2693,1200.0,1.000000,0,outputs_maca/sweep/ivf_flat_np64_b32/perf.log
ivf_flat,64,128,5710.2,22.2958,22.7334,1540.6,1.000000,0,outputs_maca/sweep/ivf_flat_np64_b128/perf.log
ivf_flat,64,512,7797.7,64.0927,65.8674,1653.5,1.000000,0,outputs_maca/sweep/ivf_flat_np64_b512/perf.log
