mode,nprobe,batch,qps,p50_ms,p99_ms,exact_qps,recall_at_k,avg_distance_error,perf_log
ivf_flat,1,32,42752.5,0.7146,1.0253,608.3,0.019180,0,outputs/sweep/ivf_flat_np1_b32/perf.log
ivf_flat,1,128,69384.9,1.7804,2.1141,728.2,0.019220,0,outputs/sweep/ivf_flat_np1_b128/perf.log
ivf_flat,1,512,80964.6,6.1663,6.4633,732.0,0.019220,0,outputs/sweep/ivf_flat_np1_b512/perf.log
ivf_flat,2,32,40254.5,0.7565,1.1116,610.8,0.043800,0,outputs/sweep/ivf_flat_np2_b32/perf.log
ivf_flat,2,128,60489.0,2.0350,2.3919,729.7,0.043800,0,outputs/sweep/ivf_flat_np2_b128/perf.log
ivf_flat,2,512,71865.4,6.9477,7.3946,715.6,0.043780,0,outputs/sweep/ivf_flat_np2_b512/perf.log
ivf_flat,4,32,38899.9,0.7898,1.0879,608.1,0.215480,0,outputs/sweep/ivf_flat_np4_b32/perf.log
ivf_flat,4,128,52347.0,2.3589,2.7026,731.6,0.215480,0,outputs/sweep/ivf_flat_np4_b128/perf.log
ivf_flat,4,512,66621.4,7.4959,7.8646,724.5,0.215480,0,outputs/sweep/ivf_flat_np4_b512/perf.log
ivf_flat,8,32,35749.0,0.8640,1.1988,609.6,0.860750,0,outputs/sweep/ivf_flat_np8_b32/perf.log
ivf_flat,8,128,47862.0,2.5871,3.0342,726.4,0.860750,0,outputs/sweep/ivf_flat_np8_b128/perf.log
ivf_flat,8,512,60324.8,8.2794,8.6309,731.5,0.860750,0,outputs/sweep/ivf_flat_np8_b512/perf.log
ivf_flat,16,32,24796.3,1.2825,1.7960,611.0,1.000000,0,outputs/sweep/ivf_flat_np16_b32/perf.log
ivf_flat,16,128,38240.0,3.2434,3.7819,727.0,1.000000,0,outputs/sweep/ivf_flat_np16_b128/perf.log
ivf_flat,16,512,48897.7,10.2162,10.8662,715.1,1.000000,0,outputs/sweep/ivf_flat_np16_b512/perf.log
ivf_flat,32,32,17965.3,1.7665,2.2260,615.1,1.000000,0,outputs/sweep/ivf_flat_np32_b32/perf.log
ivf_flat,32,128,28433.9,4.3487,5.0046,722.9,1.000000,0,outputs/sweep/ivf_flat_np32_b128/perf.log
ivf_flat,32,512,35921.6,13.9092,14.5113,731.3,1.000000,0,outputs/sweep/ivf_flat_np32_b512/perf.log
ivf_flat,64,32,13604.0,2.2964,2.7960,610.9,1.000000,0,outputs/sweep/ivf_flat_np64_b32/perf.log
ivf_flat,64,128,20057.5,6.2134,6.8308,727.2,1.000000,0,outputs/sweep/ivf_flat_np64_b128/perf.log
ivf_flat,64,512,22272.6,22.4394,22.9436,731.9,1.000000,0,outputs/sweep/ivf_flat_np64_b512/perf.log
