mode,nprobe,batch,qps,p50_ms,p99_ms,exact_qps,recall_at_k,avg_distance_error,perf_log
ivf_flat,1,32,5945.1,5.0839,6.2547,148.9,0.012350,0,outputs_musa/sweep/ivf_flat_np1_b32/perf.log
ivf_flat,1,128,14306.7,8.4483,10.4539,194.6,0.012510,0,outputs_musa/sweep/ivf_flat_np1_b128/perf.log
ivf_flat,1,512,18971.5,26.1541,28.0809,207.7,0.012460,0,outputs_musa/sweep/ivf_flat_np1_b512/perf.log
ivf_flat,2,32,5976.8,4.9096,7.2332,149.1,0.019250,0,outputs_musa/sweep/ivf_flat_np2_b32/perf.log
ivf_flat,2,128,11249.1,10.6707,12.6841,194.4,0.019020,0,outputs_musa/sweep/ivf_flat_np2_b128/perf.log
ivf_flat,2,512,16115.4,30.8383,31.9620,206.6,0.019130,0,outputs_musa/sweep/ivf_flat_np2_b512/perf.log
ivf_flat,4,32,5395.5,5.5658,7.7355,149.7,0.063340,0,outputs_musa/sweep/ivf_flat_np4_b32/perf.log
ivf_flat,4,128,9605.0,12.7095,14.7001,194.9,0.062870,0,outputs_musa/sweep/ivf_flat_np4_b128/perf.log
ivf_flat,4,512,12023.6,41.3820,44.7030,208.7,0.063460,0,outputs_musa/sweep/ivf_flat_np4_b512/perf.log
ivf_flat,8,32,4221.2,7.2272,8.6198,149.7,0.542360,0,outputs_musa/sweep/ivf_flat_np8_b32/perf.log
ivf_flat,8,128,7668.5,16.1772,18.0297,194.2,0.543740,0,outputs_musa/sweep/ivf_flat_np8_b128/perf.log
ivf_flat,8,512,9695.4,51.3658,54.3713,206.7,0.542460,0,outputs_musa/sweep/ivf_flat_np8_b512/perf.log
ivf_flat,16,32,3409.4,9.0439,10.9020,149.5,0.991390,0,outputs_musa/sweep/ivf_flat_np16_b32/perf.log
ivf_flat,16,128,5514.9,22.6340,23.7885,195.8,0.991390,0,outputs_musa/sweep/ivf_flat_np16_b128/perf.log
ivf_flat,16,512,6966.1,71.5615,73.9260,207.7,0.991390,0,outputs_musa/sweep/ivf_flat_np16_b512/perf.log
ivf_flat,32,32,2435.4,12.6301,15.6447,143.3,1.000000,0,outputs_musa/sweep/ivf_flat_np32_b32/perf.log
ivf_flat,32,128,3447.0,34.6925,46.0515,195.7,1.000000,0,outputs_musa/sweep/ivf_flat_np32_b128/perf.log
ivf_flat,32,512,4103.0,121.6566,126.9051,208.3,1.000000,0,outputs_musa/sweep/ivf_flat_np32_b512/perf.log
ivf_flat,64,32,1453.4,21.4091,24.0864,149.3,1.000000,0,outputs_musa/sweep/ivf_flat_np64_b32/perf.log
ivf_flat,64,128,2101.4,60.0676,62.6422,196.5,1.000000,0,outputs_musa/sweep/ivf_flat_np64_b128/perf.log
ivf_flat,64,512,2283.3,218.7976,225.9178,207.0,1.000000,0,outputs_musa/sweep/ivf_flat_np64_b512/perf.log
